1578089327,Africa is the BEST My angel checked the weather and my heart skipped a beat We are leaving Sunny Uganda to come and dance in the cold And guess what I lost my winter jacket somehow so Im gonna wrap myself in my fleece blanket to the shop when we stop off,0.2,"['africa', 'best', 'angel', 'checked', 'weather', 'heart', 'skipped', 'beat', 'leaving', 'sunny', 'uganda', 'come', 'dance', 'cold', 'guess', 'lost', 'winter', 'jacket', 'somehow', 'im', 'gonna', 'wrap', 'fleece', 'blanket', 'shop', 'stop']"

1578089327,itvweather Why do weather people akways say largely bad English it should be mostly,-0.06666666666666661,"['itvweather', 'weather', 'people', 'akways', 'say', 'largely', 'bad', 'english', 'mostly']"

1578089327,JamieBrysonCPNI Brake out the flegslove a good protest even in this weather,0.7,"['jamiebrysoncpni', 'brake', 'flegslove', 'good', 'protest', 'even', 'weather']"

1578089327,Also shout out to Ireland for having literally perfect weather on January 3rdThx to all that sacrificed a goat for me,1.0,"['also', 'shout', 'ireland', 'literally', 'perfect', 'weather', 'january', '3rdthx', 'sacrificed', 'goat']"

1578089327,The long dull monotonous years of middleaged prosperity or middleaged adversity are excellent campaigning weather for the devil C S Lewis,0.21944444444444444,"['long', 'dull', 'monotonous', 'years', 'middleaged', 'prosperity', 'middleaged', 'adversity', 'excellent', 'campaigning', 'weather', 'devil', 'c', 'lewis']"

1578089327,Say what you want about the cricket but the weather has been amazing today SAvENG,0.6000000000000001,"['say', 'want', 'cricket', 'weather', 'amazing', 'today', 'saveng']"

1578089327,Its 2 degrees where I am Its getting cold you will need these Wheel Wellies and Ice Boot Cover for when the weather takes its turn and becomes muddy or icy Check them out at our website,-0.35,"['2', 'degrees', 'getting', 'cold', 'need', 'wheel', 'wellies', 'ice', 'boot', 'cover', 'weather', 'takes', 'turn', 'becomes', 'muddy', 'icy', 'check', 'website']"

1578089327,Just so you know paying the government more taxes will not change the weather,0.5,"['know', 'paying', 'government', 'taxes', 'change', 'weather']"

